title,thumbnail,link
"20 minute Low Impact Cardio Workout","/com/example/granny_gains_new/images/Cardio1.png","https://www.youtube.com/watch?v=HP_P-A3crw4"
"Improve HEART HEALTH At Home", "/com/example/granny_gains_new/images/Cardio2.png", "https://www.youtube.com/watch?v=EegCoMRREwQ"
"Simple Cardio Workout For Seniors", "/com/example/granny_gains_new/images/cardio3.png","https://www.youtube.com/watch?v=3d9LoviHm9I"
"20 Minute Dance Workout for Seniors", "/com/example/granny_gains_new/images/cardio4.png", "https://www.youtube.com/watch?v=E6lsGDntAEM"
