title,thumbnail,link
"Beginner Seated HIIT Workout", "/com/example/granny_gains_new/images/HIIT1.png", "https://www.youtube.com/watch?v=s5FNlnEuux4"
"HIIT Workout for Seniors to Lose Weight", "/com/example/granny_gains_new/images/HIIT2.png", "https://www.youtube.com/watch?v=1oMrb9RdQVk"
"High Intensity Exercises for Seniors", "/com/example/granny_gains_new/images/HIIT3.png", "https://www.youtube.com/watch?v=qg7yMgax2G0"
"Beginner HIIT Workout For Seniors", "/com/example/granny_gains_new/images/HIIT4.png", "https://www.youtube.com/watch?v=gT9WO94knPg"
